"x";"y";"srid","name";"place";"population"
16137224;-4553219;3857;"Melbourne";"city";3806092
17034498;-3182188;3857;"Brisbane";"city";1857594
12897530;-3757105;3857;"Perth";"city";1554769
15428869;-4154187;3857;"Adelaide";"city";1158259
16896212;-3885657;3857;"Newcastle";"city";523662
16600927;-4202280;3857;"Canberra";"city";339573
16797431;-4085916;3857;"Wollongong";"city";280159
16400492;-5294106;3857;"Hobart";"city";207484
16070255;-4600593;3857;"Geelong";"city";169544
16344368;-2185209;3857;"Townsville";"city";157174
16915471;-3194222;3857;"Toowoomba";"city";123406
16379255;-5076545;3857;"Launceston";"city";104071
16061465;-4405550;3857;"Bendigo";"city";86510
16607394;-2408762;3857;"Mackay";"city";79172
16014502;-4517772;3857;"Ballarat";"city";78221
16755051;-2677825;3857;"Rockhampton";"city";74530
16959711;-2859212;3857;"Bundaberg";"city";64663
12872278;-3940568;3857;"Bunbury";"city";59876
16404906;-4179520;3857;"Wagga Wagga";"city";55381
17015576;-2912463;3857;"Hervey Bay";"city";52230
17044520;-3541686;3857;"Coffs Harbour";"city";50726
15825457;-4053633;3857;"Mildura";"city";48691
16837838;-2734392;3857;"Gladstone";"city";47169
16801570;-3644677;3857;"Tamworth";"city";44970
17021606;-3691239;3857;"Port Macquarie";"city";42042
16597420;-3932801;3857;"Orange";"city";37333
16612465;-4212077;3857;"Queanbeyan";"city";36331
16542371;-3795895;3857;"Dubbo";"city";36150
12758852;-3346449;3857;"Geraldton";"city";34214
16764768;-4146788;3857;"Nowra";"city";32556
16650985;-3950944;3857;"Bathurst";"city";32385
15861724;-4633659;3857;"Warrnambool";"city";32042
17063701;-3351062;3857;"Lismore";"city";31865
13122776;-4166776;3857;"Albany";"city";25196
16923621;-3276321;3857;"Warwick";"city";12500
16717771;-4260409;3857;"Batemans Bay";"city";12000
16600677;-4333092;3857;"Cooma";"city";6587
12652311;-2861333;3857;"Carnarvon";"city";5283
13113005;-2595042;3857;"Tom Price";"city";2721
13191034;-3072868;3857;"Meekatharra";"city";798
13118804;-3257231;3857;"Mount Magnet";"city";424
13330021;-2412339;3857;"Marble Bar";"city";194
13101138;-3409215;3857;"Paynes Find";"city";77
16666732;-4130282;3857;"Goulburn";"city";-1
13522312;-3599840;3857;"Kalgoorlie";"city";-1
16971864;-3751878;3857;"Taree";"city";-1
15173634;-1812874;3857;"Borroloola";"city";-1
16354724;-4311674;3857;"Albury";"city";-1
14937959;-2231294;3857;"Tennant Creek";"city";-1
15362742;-3919104;3857;"Port Pirie";"city";-1
16493291;-2695754;3857;"Emerald";"city";-1
14847009;-1835416;3857;"Daly Waters";"city";-1
13328630;-2675255;3857;"Newman";"city";-1
17043638;-3151632;3857;"Redcliffe";"city";-1
