"x","y","srid","name","place","population"
1399294,7496302,3857,"København","city",539542
1136951,7588260,3857,"Aarhus","city",226717
1156076,7439834,3857,"Odense","city",158163
1104280,7769947,3857,"Aalborg","city",122219
1395125,7494583,3857,"Frederiksberg","city",98782
1397039,7508055,3857,"Gentofte","city",71714
940921,7452892,3857,"Esbjerg","city",71025
1388111,7506510,3857,"Gladsaxe","city",64951
1055203,7457454,3857,"Kolding","city",55596
1096000,7530997,3857,"Horsens","city",52998
1061245,7498926,3857,"Vejle","city",50213
999130,7585709,3857,"Herning","city",46279
1345355,7487896,3857,"Roskilde","city",45824
1049191,7649714,3857,"Viborg","town",91405
1309859,7407283,3857,"Næstved","town",80732
1118759,7651882,3857,"Randers","town",59565
1388970,7487906,3857,"Hvidovre","town",50081
1404154,7565300,3857,"Helsingør","town",46279
1369222,7475920,3857,"Greve Strand","town",41559
1402599,7484751,3857,"Tårnby","town",40045
1063047,7592223,3857,"Silkeborg","town",38760
1386454,7495221,3857,"Rødovre","town",36524
1086057,7472355,3857,"Fredericia","town",36391
1356083,7450972,3857,"Køge","town",33885
1368356,7489396,3857,"Tåstrup","town",32406
959157,7630222,3857,"Holstebro","town",32072
1370991,7545186,3857,"Hillerød","town",30350
1375870,7489273,3857,"Albertslund","town",27475
1179710,7373868,3857,"Svendborg","town",27318
1089796,7344209,3857,"Sønderborg","town",27179
1384561,7503828,3857,"Herlev","town",26506
1111340,7856106,3857,"Hjørring","town",24634
1391494,7535226,3857,"Hørsholm","town",23845
1172598,7850821,3857,"Frederikshavn","town",23331
1379911,7492852,3857,"Glostrup","town",21384
1057535,7410538,3857,"Haderslev","town",20825
1005586,7672061,3857,"Skive","town",20815
1383565,7526697,3857,"Birkerød","town",20008
1375715,7481057,3857,"Ishøj","town",18933
1377050,7520709,3857,"Farum","town",18521
1321496,7316129,3857,"Nykøbing Falster","town",16807
1201804,7421884,3857,"Nyborg","town",16467
1048657,7370344,3857,"Aabenraa","town",16042
1235646,7495633,3857,"Kalundborg","town",15939
1375464,7532752,3857,"Allerød","town",15775
1342770,7527091,3857,"Frederikssund","town",15468
1240213,7425492,3857,"Korsør","town",15029
1019203,7585713,3857,"Ikast","town",14692
1214025,7639004,3857,"Grenå","town",14317
1084966,7459245,3857,"Middelfart","town",14081
1241211,7329587,3857,"Nakskov","town",14013
1637420,7381141,3857,"Rønne","town",13904
1376351,7486092,3857,"Vallensbæk","town",13880
1104586,7569222,3857,"Skanderborg","town",13543
944108,7482806,3857,"Varde","town",13054
966964,7750994,3857,"Thisted","town",13020
1378506,7515404,3857,"Værløse","town",12849
1338178,7553183,3857,"Frederiksværk","town",12257
1410628,7477697,3857,"Dragør","town",11721
1106894,7815464,3857,"Brønderslev","town",11671
1357848,7489320,3857,"Hedehusene","town",11421
1397389,7556580,3857,"Espergærde","town",11358
957617,7654777,3857,"Struer","town",11317
1090273,7686482,3857,"Hobro","town",11064
1129622,7554107,3857,"Odder","town",11009
1332123,7426830,3857,"Haslev","town",10588
1079771,7512765,3857,"Hedensted","town",10048
1348821,7508808,3857,"Jyllinge","town",9981
1178872,7909745,3857,"Skagen","town",9747
993833,7510209,3857,"Grindsted","town",9414
987032,7719350,3857,"Nykøbing Mors","town",9326
917860,7576308,3857,"Ringkøbing","town",9315
1395300,7551064,3857,"Humlebæk","town",9283
1140637,7605113,3857,"Lystrup","town",9107
1326556,7365101,3857,"Vordingborg","town",8960
1319305,7551746,3857,"Hundested","town",8861
1171002,7828423,3857,"Sæby","town",8435
1381159,7553423,3857,"Fredensborg","town",8377
975691,7425865,3857,"Ribe","town",8210
1357568,7562563,3857,"Helsinge","town",7881
1392663,7545151,3857,"Nivå","town",7869
924637,7668074,3857,"Lemvig","town",7330
1128002,7576472,3857,"Tranbjerg","town",7307
1059397,7720079,3857,"Aars","town",7247
1140198,7380706,3857,"Fåborg","town",7222
1287595,7446426,3857,"Sorø","town",7167
945199,7547858,3857,"Skjern","town",7145
1085037,7372614,3857,"Nordborg","town",7089
1120616,7611686,3857,"Hinnerup","town",7055
1118703,7624250,3857,"Hadsten","town",7020
1016367,7546834,3857,"Brande","town",6357
1094810,7737937,3857,"Støvring","town",6239
1014786,7505036,3857,"Billund","town",6160
1098340,7608481,3857,"Hammel","town",6138
1189263,7598333,3857,"Ebeltoft","town",5888
1298982,7543172,3857,"Nykøbing Sjælland","town",5212
1126110,7702501,3857,"Hadsund","town",5066
1148889,7621752,3857,"Hornslet","town",4906
1116538,7782439,3857,"Vodskov","town",4406
1073097,7756498,3857,"Nibe","town",4376
1067189,7345466,3857,"Gråsten","town",4168
959589,7519681,3857,"Ølgod","town",3891
1367686,7359223,3857,"Stege","town",3881
1114536,7501670,3857,"Juelsminde","town",3667
1031425,7777938,3857,"Fjerritslev","town",3441
1129510,7794231,3857,"Hjallerup","town",3320
1039716,7713732,3857,"Farsø","town",3271
1144862,7792649,3857,"Dronninglund","town",3084
1124326,7760119,3857,"Storvorde","town",2796
1057025,7698347,3857,"Ålestrup","town",2787
1100885,7726471,3857,"Skørping","town",2722
1056291,7431915,3857,"Christiansfeld","town",2709
1097483,7712991,3857,"Arden","town",2516
959202,7784003,3857,"Hanstholm","town",2418
1127734,7773636,3857,"Vester Hassing","town",2298
1109766,7786113,3857,"Vestbjerg","town",2251
1081166,7836168,3857,"Løkken","town",1536
1139584,7830235,3857,"Østervrå","town",1397
1379942,7502749,3857,"Skovlunde","town",-1
1263759,7441088,3857,"Slagelse","town",-1
1190246,7619119,3857,"Tirstrup","town",-1
1391061,7539752,3857,"Kokkedal","town",-1
1394822,7535724,3857,"Rungsted","town",-1
1046988,7670477,3857,"Skals","town",-1
1075385,7678626,3857,"Hvornum","town",-1
1072347,7676973,3857,"Klejtrup","town",-1
1057776,7674454,3857,"Bjerregrav","town",-1
1145511,7710054,3857,"Als","town",-1
1063242,7680141,3857,"Roum","town",-1
1109020,7547682,3857,"Hovedgård","town",-1
1057448,7682262,3857,"Møldrup","town",-1
1120127,7694292,3857,"Assens","town",-1
1093229,7704067,3857,"Vebbestrup","town",-1
1110938,7688779,3857,"Mariager","town",-1
1155748,7826438,3857,"Hørby","town",-1
1124444,7588790,3857,"Brabrand","town",-1
1301514,7430555,3857,"Glumsø","town",-1
1400394,7560551,3857,"Snekkersten","town",-1
1405876,7485900,3857,"Kastrup","town",-1
1392066,7513134,3857,"Kongens Lyngby","town",-1
1388309,7517817,3857,"Virum","town",-1
1348729,7410884,3857,"Faxe","town",-1
1303946,7502602,3857,"Holbæk","town",-1
1376008,7504896,3857,"Ballerup","town",-1
1313491,7449672,3857,"Ringsted","town",-1
1398789,7505577,3857,"Hellerup","town",-1
1101601,7750310,3857,"Ferslev","town",-1
1079796,7729186,3857,"Suldrup","town",-1
1357889,7512472,3857,"Stenløse","town",-1
1352604,7517412,3857,"Ølstykke","town",-1
1167540,7802921,3857,"Voerså","town",-1
1072250,7700101,3857,"Nørager","town",-1
1388015,7521183,3857,"Holte","town",-1
1119650,7722566,3857,"Terndrup","town",-1
1269953,7491132,3857,"Jyderup","town",-1
1125992,7736722,3857,"Kongerslev","town",-1
1382779,7487892,3857,"Brøndby","town",-1
1077582,7716509,3857,"Haverslev","town",-1
1166002,7619007,3857,"Rønde","town",-1
1050078,7691635,3857,"Fjelsø","town",-1
1045684,7551600,3857,"Nørre Snede","town",-1
1096210,7726157,3857,"Rebild","town",-1
988529,7710772,3857,"Glyngøre","town",-1
1369230,7505512,3857,"Smørumnedre","village",8968
1396514,7526469,3857,"Trørød","village",8576
1017072,7455092,3857,"Vejen","village",8525
1371245,7508727,3857,"Måløv","village",8513
1035443,7410229,3857,"Vojens","village",7749
1074976,7633651,3857,"Bjerringbro","village",7390
1355145,7527648,3857,"Slangerup","village",6822
968786,7452757,3857,"Bramming","village",6726
1109034,7881345,3857,"Hirtshals","village",6653
1370615,7583224,3857,"Gilleleje","village",6491
1257306,7411001,3857,"Skælskør","village",6455
1280779,7318475,3857,"Maribo","village",6104
1117216,7575489,3857,"Hørning","village",6085
1102180,7414024,3857,"Assens","village",6053
1186978,7450019,3857,"Kerteminde","village",5766
1379740,7521922,3857,"Stavnsholt","village",5658
1398665,7571320,3857,"Hellebæk","village",5578
1039837,7375387,3857,"Rødekro","village",5452
1166998,7407284,3857,"Ringe","village",5380
1175011,7450896,3857,"Munkebo","village",5225
1356088,7478350,3857,"Tune","village",5168
1121370,7580281,3857,"Kolt","village",5061
1148769,7613928,3857,"Løgten","village",5048
1034563,7444981,3857,"Vamdrup","village",5025
1086369,7577316,3857,"Ry","village",4909
1102557,7589315,3857,"Galten","village",4895
1083711,7793222,3857,"Åbybro","village",4849
1295869,7323114,3857,"Sakskøbing","village",4762
1042259,7327509,3857,"Padborg","village",4684
1192951,7349973,3857,"Rudkøbing","village",4647
1096799,7755500,3857,"Svenstrup","village",4550
1100378,7758271,3857,"Dall villaby","village",4550
1157380,7462626,3857,"Otterup","village",4522
1338598,7469535,3857,"Viby","village",4505
1050591,7615281,3857,"Kjellerup","village",4500
1029705,7753309,3857,"Løgstør","village",4469
1161590,7427614,3857,"Højby","village",4406
1337730,7485791,3857,"Svogerslev","village",4355
1089076,7466071,3857,"Strib","village",4339
960491,7576321,3857,"Videbæk","village",4300
1028609,7527731,3857,"Give","village",4240
1003731,7456242,3857,"Brørup","village",4233
1136378,7570293,3857,"Beder","village",4214
1313956,7416168,3857,"Fensmark","village",4203
948355,7540699,3857,"Tarm","village",4080
1367022,7527511,3857,"Lynge","village",4072
1333978,7528613,3857,"Jægerspris","village",4065
1319950,7480097,3857,"Nørre Hvalsø","village",3930
1257052,7460863,3857,"Høng","village",3789
1000022,7578301,3857,"Lind","village",3777
975901,7598333,3857,"Vildbjerg","village",3773
1684395,7374235,3857,"Nexø","village",3762
1177994,7431871,3857,"Langeskov","village",3713
1340454,7384796,3857,"Præstø","village",3695
1007341,7588393,3857,"Gjellerup Kirkeby","village",3627
1113195,7760119,3857,"Gistrup","village",3622
1279499,7465102,3857,"Dianalund","village",3605
1074139,7487401,3857,"Børkop","village",3561
1367479,7571024,3857,"Græsted","village",3526
1003731,7598333,3857,"Sunds","village",3525
991132,7585104,3857,"Snejbjerg","village",3513
1134831,7565884,3857,"Malling","village",3462
1310201,7481277,3857,"Tølløse","village",3457
1123446,7472108,3857,"Bogense","village",3410
1118696,7762496,3857,"Klarup","village",3352
1009100,7398324,3857,"Toftlund","village",3310
904758,7559788,3857,"Hvide Sande","village",3291
1070424,7466649,3857,"Taulov","village",3278
1099493,7352170,3857,"Augustenborg","village",3255
1165137,7420904,3857,"Årslev","village",3228
1331597,7508808,3857,"Skibby","village",3185
1287595,7443156,3857,"Frederiksberg","village",3142
1122273,7566684,3857,"Solbjerg","village",3139
1070062,7552800,3857,"Brædstrup","village",3130
997142,7373580,3857,"Løgumkloster","village",3124
1064957,7581675,3857,"Virklund","village",3113
1125061,7416152,3857,"Glamsbjerg","village",3099
992468,7460670,3857,"Holsted","village",3096
976139,7392223,3857,"Skærbæk","village",3091
1048683,7509898,3857,"Jelling","village",3059
1127989,7437481,3857,"Vissenbjerg","village",3055
1008064,7585194,3857,"Hammerum","village",3025
977182,7654597,3857,"Vinderup","village",2991
1165726,7445105,3857,"Bullerup","village",2982
1187175,7432642,3857,"Ullerslev","village",2962
1077083,7805759,3857,"Pandrup","village",2942
1364971,7516946,3857,"Ganløse","village",2936
1318376,7316970,3857,"Sundby","village",2905
1135421,7857957,3857,"Sindal","village",2898
978774,7611701,3857,"Avlum","village",2875
1141618,7456385,3857,"Søndersø","village",2850
921755,7484478,3857,"Oksbøl","village",2845
1029572,7348974,3857,"Tinglev","village",2829
936939,7709191,3857,"Hurup","village",2769
1060015,7780105,3857,"Brovst","village",2710
1008157,7433886,3857,"Rødding","village",2694
1035271,7456242,3857,"Lunderskov","village",2687
1099705,7451691,3857,"Nørre Åby","village",2678
985064,7565013,3857,"Kibæk","village",2656
1118319,7435486,3857,"Årup","village",2592
1331918,7560853,3857,"Liseleje","village",2580
1352679,7540138,3857,"Skævinge","village",2546
1142818,7608308,3857,"Hjortshøj","village",2515
1101263,7344446,3857,"Høruphav","village",2514
935734,7449665,3857,"Nordby","village",2512
1155867,7645169,3857,"Auning","village",2509
1107143,7589463,3857,"Skovby","village",2489
1249832,7467203,3857,"Gørlev","village",2482
1130117,7608815,3857,"Trige","village",2475
1007115,7418154,3857,"Gram","village",2452
1280245,7521639,3857,"Asnæs","village",2441
1129292,7646500,3857,"Assentoft","village",2432
1098507,7360052,3857,"Guderup","village",2424
1168695,7861567,3857,"Strandby","village",2397
1338922,7411417,3857,"Rønnede","village",2395
1147969,7759684,3857,"Hals","village",2388
1276464,7508808,3857,"Hørve","village",2382
1268140,7302962,3857,"Rødby","village",2379
1082128,7463840,3857,"Snoghøj","village",2371
1055680,7528613,3857,"Tørring","village",2370
1344117,7530694,3857,"Græse Bakkeby","village",2368
1340721,7340716,3857,"Stubbekøbing","village",2301
1092850,7761430,3857,"Frejlev","village",2286
1106843,7832777,3857,"Vrå","village",2273
1170853,7333494,3857,"Marstal","village",2265
1378442,7532489,3857,"Blovstrød","village",2226
1076428,7491775,3857,"Brejning","village",2220
1257119,7489262,3857,"Svebølle","village",2186
1020867,7620604,3857,"Karup","village",2176
1035271,7482481,3857,"Egtved","village",2151
1352583,7506095,3857,"Gundsømagle","village",2149
1264243,7296327,3857,"Rødbyhavn","village",2145
1181316,7370255,3857,"Vindeby","village",2144
1322058,7341905,3857,"Nørre Alslev","village",2128
